"Department","DistinguishedName","Enabled","GivenName","mail","Manager","Name","ObjectClass","ObjectGUID","OfficePhone","SamAccountName","SID","sn","Surname","Title","UserPrincipalName","Office"
"Stratégie CRM","CN=Amandine Pruvost,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Amandine","amandinep@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Amandine Pruvost","user","19810018-8a60-4216-8597-80262e5712d0","","amandinep","S-1-5-21-331390976-2650875657-2422772959-1761","Pruvost","Pruvost","Consultant CRM","amandine.pruvost@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Clémence Noël,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Clémence","clemencen@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Clémence Noël","user","cedb0e6a-9974-4293-8286-7dc8f5985e8a","","clemencen","S-1-5-21-331390976-2650875657-2422772959-1762","Noël","Noël","Consultant gestion de contenu","clemence.noel@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Sophie Lemoine,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Sophie","sophiel@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Sophie Lemoine","user","a7123b9f-1060-4213-b5bb-f971303cf182","04 65 71 44 28","sophiel","S-1-5-21-331390976-2650875657-2422772959-1763","Lemoine","Lemoine","Consultant gestion de contenu","sophie.lemoine@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Romain Berger,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Romain","romainb@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Romain Berger","user","7c2df1cf-6aef-4b5a-8666-e8fbe1f97663","04 65 71 94 37","romainb","S-1-5-21-331390976-2650875657-2422772959-1764","Berger","Berger","Consultant gestion de contenu","romain.berger@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Clémence Poirier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Clémence","clemencep@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Clémence Poirier","user","c664caf1-1023-4a0d-a90d-ec891eb89e61","04 65 71 94 41","clemencep","S-1-5-21-331390976-2650875657-2422772959-1765","Poirier","Poirier","Consultant gestion de contenu","clemence.poirier@contoso.fr","Lyon"
"Conseil Gestion de Contenu","CN=Céline Clerc,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Céline","celinec@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Céline Clerc","user","b5dfbef4-8ca8-49f5-a2de-4af33b175552","","celinec","S-1-5-21-331390976-2650875657-2422772959-1766","Clerc","Clerc","Consultant gestion de contenu","celine.clerc@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Sébastien Hervé,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Sébastien","sebastienh@contoso.fr","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Sébastien Hervé","user","f5a2b7f2-35c5-471e-a8c7-4569ad2861f5","04 65 71 52 92","sebastienh","S-1-5-21-331390976-2650875657-2422772959-1767","Hervé","Hervé","Consultant en stratégie","sebastien.herve@contoso.fr","Lyon"
"Ingénierie et Production","CN=Audrey Amiot,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Audrey","audreya@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Audrey Amiot","user","8e18794b-7b4d-4375-b3cd-bcf6199926da","03 53 01 37 48","audreya","S-1-5-21-331390976-2650875657-2422772959-1768","Amiot","Amiot","Ingénieur","audrey.amiot@contoso.fr","Metz"
"Ingénierie et Production","CN=Isabelle Duval,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Isabelle","isabelled@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Isabelle Duval","user","7e60ff5a-c38b-4815-8f00-61b269a8f083","03 53 01 61 73","isabelled","S-1-5-21-331390976-2650875657-2422772959-1769","Duval","Duval","Ingénieur","isabelle.duval@contoso.fr","Metz"
"Ingénierie et Production","CN=Anaïs Grondin,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Anaïs","anaisg@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Anaïs Grondin","user","51ae8f34-698e-4651-a429-2cb825cbe449","03 53 01 31 19","anaisg","S-1-5-21-331390976-2650875657-2422772959-1770","Grondin","Grondin","Ingénieur","anais.grondin@contoso.fr","Metz"
"Ingénierie et Production","CN=Ludovic Brunet,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Ludovic","ludovicb@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Ludovic Brunet","user","74de80f2-9eab-4c4c-8df5-af0dc32f16ca","03 53 01 72 31","ludovicb","S-1-5-21-331390976-2650875657-2422772959-1771","Brunet","Brunet","Ingénieur","ludovic.brunet@contoso.fr","Metz"
"Création","CN=Élodie Régnier,OU=Création,OU=Utilisateurs,DC=contoso,DC=fr","True","Élodie","elodier@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Élodie Régnier","user","eaea736d-6e68-4047-bb22-ca7f8a793ccb","01 99 00 66 99","elodier","S-1-5-21-331390976-2650875657-2422772959-1772","Régnier","Régnier","Ingénieur","elodie.regnier@contoso.fr","Paris"
"Ingénierie et Production","CN=Delphine Hamon,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Delphine","delphineh@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Delphine Hamon","user","5914122f-d433-4094-9a83-7fcbdcecaec6","03 53 01 61 27","delphineh","S-1-5-21-331390976-2650875657-2422772959-1773","Hamon","Hamon","Ingénieur","delphine.hamon@contoso.fr","Metz"
"Stratégie CRM","CN=Sophie Duval,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Sophie","sophied@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Sophie Duval","user","9149465d-e566-4c1a-801d-8d01c3c00dea","","sophied","S-1-5-21-331390976-2650875657-2422772959-1774","Duval","Duval","Consultant CRM","sophie.duval@contoso.fr","Paris"
"Stratégie CRM","CN=Sandrine Gaillard,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Sandrine","sandrineg@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Sandrine Gaillard","user","dbf9f74b-86a4-4341-aaca-49c7ccbe7485","","sandrineg","S-1-5-21-331390976-2650875657-2422772959-1775","Gaillard","Gaillard","Consultant CRM","sandrine.gaillard@contoso.fr","Paris"
"Stratégie CRM","CN=Hélène Pruvost,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Hélène","helenep@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Hélène Pruvost","user","b739469e-df71-454e-ac05-3fc3e8baeeaf","","helenep","S-1-5-21-331390976-2650875657-2422772959-1776","Pruvost","Pruvost","Consultant CRM","helene.pruvost@contoso.fr","Paris"
"Conseil en Stratégie","CN=Pauline Lemoine,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Pauline","paulinel@contoso.fr","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Pauline Lemoine","user","dece205a-6795-433d-99a3-2ba2f993cfff","01 99 00 52 31","paulinel","S-1-5-21-331390976-2650875657-2422772959-1777","Lemoine","Lemoine","Consultant en stratégie","pauline.lemoine@contoso.fr","Paris"
"Conseil en Stratégie","CN=Hélène Fournier,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Hélène","helenef@contoso.fr","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Hélène Fournier","user","cc0fab94-80c4-40c6-bad2-e9cf5eef6f2b","03 53 01 58 64","helenef","S-1-5-21-331390976-2650875657-2422772959-1778","Fournier","Fournier","Consultant en stratégie","helene.fournier@contoso.fr","Metz"
"Conseil en Stratégie","CN=Vincent Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Vincent","vincenth@contoso.fr","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Vincent Hubert","user","d0195cfd-7e9a-4ee8-b838-ec43edba4c68","04 65 71 54 22","vincenth","S-1-5-21-331390976-2650875657-2422772959-1779","Hubert","Hubert","Consultant en stratégie","vincent.hubert@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Bastien Leclerc,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Bastien","bastienl@contoso.fr","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Bastien Leclerc","user","be7519a0-a110-4627-914f-03038b7bc4d1","01 99 00 54 99","bastienl","S-1-5-21-331390976-2650875657-2422772959-1780","Leclerc","Leclerc","Consultant en stratégie","bastien.leclerc@contoso.fr","Paris"
"Conseil en Stratégie","CN=Cédric Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Cédric","cedricm@contoso.fr","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Cédric Mallet","user","c70fcbcf-e7bc-4e23-bd15-139963b85547","03 53 01 16 65","cedricm","S-1-5-21-331390976-2650875657-2422772959-1781","Mallet","Mallet","Consultant en stratégie","cedric.mallet@contoso.fr","Metz"
"Conseil Gestion de Contenu","CN=Sarah Dupont,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Sarah","sarahd@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Sarah Dupont","user","559cc2f4-1762-40a0-9d58-cd724781215c","04 65 71 34 34","sarahd","S-1-5-21-331390976-2650875657-2422772959-1782","Dupont","Dupont","Consultant gestion de contenu","sarah.dupont@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Romain Tessier,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Romain","romaint@contoso.fr","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Romain Tessier","user","6337b7f5-b5ad-4931-b33a-9df49f032922","03 53 01 79 47","romaint","S-1-5-21-331390976-2650875657-2422772959-1783","Tessier","Tessier","Consultant en stratégie","romain.tessier@contoso.fr","Metz"
"Stratégie CRM","CN=Baptiste Leroux,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Baptiste","baptistel@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Baptiste Leroux","user","5e5d6b8f-1344-4e70-a962-b952caeed4c1","","baptistel","S-1-5-21-331390976-2650875657-2422772959-1784","Leroux","Leroux","Consultant CRM","baptiste.leroux@contoso.fr","Paris"
"Conseil en Stratégie","CN=Aurélie Ziegler,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Aurélie","aureliez@contoso.fr","CN=Élodie Caron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Aurélie Ziegler","user","49c4721e-48b4-48b2-997f-633fb4afb540","01 99 00 81 57","aureliez","S-1-5-21-331390976-2650875657-2422772959-1785","Ziegler","Ziegler","Consultant en stratégie","aurelie.ziegler@contoso.fr","Paris"
"Conseil en Stratégie","CN=Margaux Blanchard,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Margaux","margauxb@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Margaux Blanchard","user","49ee2aac-d40f-46a2-8520-0218b5e42a49","03 53 01 57 84","margauxb","S-1-5-21-331390976-2650875657-2422772959-1786","Blanchard","Blanchard","Consultant en stratégie","margaux.blanchard@contoso.fr","Metz"
"Conseil en Stratégie","CN=Nicolas Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Nicolas","nicolasm@contoso.fr","CN=Sandrine Pichon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Nicolas Mallet","user","0d15bba1-f9e9-48d1-98e2-34d2407e6f86","04 65 71 58 62","nicolasm","S-1-5-21-331390976-2650875657-2422772959-1787","Mallet","Mallet","Consultant en stratégie","nicolas.mallet@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Adrien Masse,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Adrien","adrienm@contoso.fr","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Adrien Masse","user","dcc10729-8dbe-426d-b6ac-0a95e9a2f0d7","01 99 00 35 18","adrienm","S-1-5-21-331390976-2650875657-2422772959-1788","Masse","Masse","Consultant en stratégie","adrien.masse@contoso.fr","Paris"
"Conseil en Stratégie","CN=Charlotte Gaillard,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Charlotte","charlotteg@contoso.fr","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Charlotte Gaillard","user","8550e839-78e9-4c42-85b7-1bfdf8aa8ed6","04 65 71 44 84","charlotteg","S-1-5-21-331390976-2650875657-2422772959-1789","Gaillard","Gaillard","Consultant en stratégie","charlotte.gaillard@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Nathalie Vaillant,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Nathalie","nathaliev@contoso.fr","CN=Océane Hubert,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Nathalie Vaillant","user","4b6ea132-e8fa-4d67-b0e9-c194d201309d","04 65 71 64 43","nathaliev","S-1-5-21-331390976-2650875657-2422772959-1790","Vaillant","Vaillant","Consultant en stratégie","nathalie.vaillant@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Marion Marchand,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Marion","marionm@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Marion Marchand","user","dda65c86-f801-448a-b447-823aee708d4e","01 99 00 54 61","marionm","S-1-5-21-331390976-2650875657-2422772959-1791","Marchand","Marchand","Consultant en stratégie","marion.marchand@contoso.fr","Paris"
"Ingénierie et Production","CN=Mathieu Bouvier,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","True","Mathieu","mathieub@contoso.fr","CN=Océane Baron,OU=Ingénierie et Production,OU=Utilisateurs,DC=contoso,DC=fr","Mathieu Bouvier","user","4bbaa4f6-bf32-4895-a632-147b0450d68a","03 53 01 35 99","mathieub","S-1-5-21-331390976-2650875657-2422772959-1792","Bouvier","Bouvier","Ingénieur","mathieu.bouvier@contoso.fr","Metz"
"Stratégie CRM","CN=Mélanie Blanchard,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","True","Mélanie","melanieb@contoso.fr","CN=Olivier Leclerc,OU=Stratégie CRM,OU=Utilisateurs,DC=contoso,DC=fr","Mélanie Blanchard","user","e01a7ab1-0498-4364-86cc-7b22410d48f3","","melanieb","S-1-5-21-331390976-2650875657-2422772959-1793","Blanchard","Blanchard","Consultant CRM","melanie.blanchard@contoso.fr","Paris"
"Conseil Gestion de Contenu","CN=Manon Marchand,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","True","Manon","manonm@contoso.fr","CN=Grégory Chevalier,OU=Conseil Gestion de Contenu,OU=Utilisateurs,DC=contoso,DC=fr","Manon Marchand","user","eddf81c2-bd05-46d7-9795-e7890e209b45","04 65 71 55 42","manonm","S-1-5-21-331390976-2650875657-2422772959-1794","Marchand","Marchand","Consultant gestion de contenu","manon.marchand@contoso.fr","Lyon"
"Conseil en Stratégie","CN=Cédric Turpin,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Cédric","cedrict@contoso.fr","CN=Hugo Baron,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Cédric Turpin","user","61239bbd-fdeb-422b-8efe-40edc8dffaaf","01 99 00 82 36","cedrict","S-1-5-21-331390976-2650875657-2422772959-1795","Turpin","Turpin","Consultant en stratégie","cedric.turpin@contoso.fr","Paris"
"Prestataires Externes","CN=Bastien Dumas,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Bastien","bastiend@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Bastien Dumas","user","fcb614d3-c39a-4781-b7bd-8b96f5a5100d","01 99 00 77 49","bastiend","S-1-5-21-331390976-2650875657-2422772959-1796","Dumas","Dumas","Chef de projet","bastien.dumas@contoso.fr","Paris"
"Conseil en Stratégie","CN=Grégory Guérin,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","True","Grégory","gregoryg@contoso.fr","CN=Ludovic Hamon,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Grégory Guérin","user","90291c8d-f900-4762-96ad-c2eb1002686d","01 99 00 81 47","gregoryg","S-1-5-21-331390976-2650875657-2422772959-1797","Guérin","Guérin","Consultant en stratégie","gregory.guerin@contoso.fr","Paris"
"Prestataires Externes","CN=Sarah Kieffer,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Sarah","sarahk@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Sarah Kieffer","user","23239dc3-116b-4947-8e54-37a574aace9e","01 99 00 52 33","sarahk","S-1-5-21-331390976-2650875657-2422772959-1798","Kieffer","Kieffer","Chef de projet","sarah.kieffer@contoso.fr","Paris"
"Prestataires Externes","CN=Sandrine Tanguy,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Sandrine","sandrinet@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Sandrine Tanguy","user","cff32e30-7047-4c64-a1d6-04d478287546","01 99 00 95 49","sandrinet","S-1-5-21-331390976-2650875657-2422772959-1799","Tanguy","Tanguy","Chef de projet","sandrine.tanguy@contoso.fr","Paris"
"Prestataires Externes","CN=Julien Delaunay,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Julien","juliend@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Julien Delaunay","user","b330d274-7fcd-450d-af45-1eaceca06a4c","01 99 00 14 59","juliend","S-1-5-21-331390976-2650875657-2422772959-1800","Delaunay","Delaunay","Chef de projet","julien.delaunay@contoso.fr","Paris"
"Prestataires Externes","CN=Camille Lamy,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Camille","camillel@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Camille Lamy","user","09613928-992c-4328-8024-7e22919ef2b3","01 99 00 75 93","camillel","S-1-5-21-331390976-2650875657-2422772959-1801","Lamy","Lamy","Chef de projet","camille.lamy@contoso.fr","Paris"
"Prestataires Externes","CN=Charlotte Chevalier,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Charlotte","charlottec@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Charlotte Chevalier","user","2ff50834-a953-426c-a3f4-397e2c7ad961","01 99 00 54 13","charlottec","S-1-5-21-331390976-2650875657-2422772959-1802","Chevalier","Chevalier","Chef de projet","charlotte.chevalier@contoso.fr","Paris"
"Prestataires Externes","CN=Jérôme Vidal,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Jérôme","jeromev@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Jérôme Vidal","user","eb91a45a-463d-4fd8-9036-cbacc05860a5","01 99 00 93 66","jeromev","S-1-5-21-331390976-2650875657-2422772959-1803","Vidal","Vidal","Chef de projet","jerome.vidal@contoso.fr","Paris"
"Prestataires Externes","CN=Pierre Bassot,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Pierre","pierreb@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Pierre Bassot","user","98610f21-6f4a-4c66-8b52-006eb7c51ba2","01 99 00 23 42","pierreb","S-1-5-21-331390976-2650875657-2422772959-1804","Bassot","Bassot","Chef de projet","pierre.bassot@contoso.fr","Paris"
"Prestataires Externes","CN=Anaïs Hamon,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Anaïs","anaish@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Anaïs Hamon","user","b3f2cfc1-1e7f-45e3-b54c-1ea8d259f68d","01 99 00 15 77","anaish","S-1-5-21-331390976-2650875657-2422772959-1805","Hamon","Hamon","Chef de projet","anais.hamon@contoso.fr","Paris"
"Prestataires Externes","CN=Fabien Grondin,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Fabien","fabieng@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Fabien Grondin","user","530fc08d-2ab3-499c-8ba8-f4ad7af64b5d","01 99 00 71 77","fabieng","S-1-5-21-331390976-2650875657-2422772959-1806","Grondin","Grondin","Chef de projet","fabien.grondin@contoso.fr","Paris"
"Prestataires Externes","CN=Étienne Prévost,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Étienne","etiennep@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Étienne Prévost","user","a0c37074-eea7-4cf6-8fae-9d94353b9beb","01 99 00 33 82","etiennep","S-1-5-21-331390976-2650875657-2422772959-1807","Prévost","Prévost","Chef de projet","etienne.prevost@contoso.fr","Paris"
"Prestataires Externes","CN=Nathalie Chevalier,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Nathalie","nathaliec@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Nathalie Chevalier","user","ca7c1c08-3cac-4b77-bb44-4a7cccd7b72c","01 99 00 47 24","nathaliec","S-1-5-21-331390976-2650875657-2422772959-1808","Chevalier","Chevalier","Chef de projet","nathalie.chevalier@contoso.fr","Paris"
"Prestataires Externes","CN=Grégory Fabre,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Grégory","gregoryf@contoso.fr","CN=Maxime Mercier,OU=Gestion de Projet,OU=Utilisateurs,DC=contoso,DC=fr","Grégory Fabre","user","88854ebf-d74b-4648-ae25-6a79e2e762c7","01 99 00 34 15","gregoryf","S-1-5-21-331390976-2650875657-2422772959-1809","Fabre","Fabre","Chef de projet","gregory.fabre@contoso.fr","Paris"
"Comptabilité","CN=Ludovic Duval,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","True","Ludovic","ludovicd@contoso.fr","CN=Antoine Lefebvre,OU=Comptabilité,OU=Utilisateurs,DC=contoso,DC=fr","Ludovic Duval","user","60f87580-1572-419c-88ee-2e8424732e0e","01 99 00 97 64","ludovicd","S-1-5-21-331390976-2650875657-2422772959-1810","Duval","Duval","Comptable","ludovic.duval@contoso.fr","Paris"
"Prestataires Externes","CN=Estelle Ziegler,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Estelle","estellez@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Estelle Ziegler","user","bb00ed50-bc69-4871-bdbf-fadf5be62dd0","04 65 71 16 78","estellez","S-1-5-21-331390976-2650875657-2422772959-1811","Ziegler","Ziegler","Consultant en stratégie","estelle.ziegler@contoso.fr","Lyon"
"Prestataires Externes","CN=Lucie Nourry,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Lucie","lucien@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Lucie Nourry","user","bc0cc68b-a9a2-4196-9ec9-e788801c4ab7","04 65 71 68 52","lucien","S-1-5-21-331390976-2650875657-2422772959-1812","Nourry","Nourry","Consultant en stratégie","lucie.nourry@contoso.fr","Lyon"
"Prestataires Externes","CN=Mélanie Mercier,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Mélanie","melaniem@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Mélanie Mercier","user","1e7897e2-c122-47f2-9d7f-534b584776eb","04 65 71 87 92","melaniem","S-1-5-21-331390976-2650875657-2422772959-1813","Mercier","Mercier","Consultant en stratégie","melanie.mercier@contoso.fr","Lyon"
"Prestataires Externes","CN=Vincent Grondin,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Vincent","vincentg@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Vincent Grondin","user","2859685c-a540-43bf-b161-9ea55e462395","04 65 71 62 35","vincentg","S-1-5-21-331390976-2650875657-2422772959-1814","Grondin","Grondin","Consultant en stratégie","vincent.grondin@contoso.fr","Lyon"
"Prestataires Externes","CN=Sarah Weber,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Sarah","sarahw@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Sarah Weber","user","21381b8e-94bb-43df-a37a-6ce89324f411","04 65 71 46 66","sarahw","S-1-5-21-331390976-2650875657-2422772959-1815","Weber","Weber","Consultant en stratégie","sarah.weber@contoso.fr","Lyon"
"Prestataires Externes","CN=Estelle Joubert,OU=Prestataires Externes,OU=Utilisateurs,DC=contoso,DC=fr","True","Estelle","estellej@contoso.fr","CN=Laurent Mallet,OU=Conseil en Stratégie,OU=Utilisateurs,DC=contoso,DC=fr","Estelle Joubert","user","c6083bbc-d33d-4ee6-b1d2-623893b47535","04 65 71 77 94","estellej","S-1-5-21-331390976-2650875657-2422772959-1816","Joubert","Joubert","Consultant en stratégie","estelle.joubert@contoso.fr","Lyon"
